tempo;regiao_de_saude_de_notificacao;residencia_nut_iii;doenca_de_declaracao_obrigatoria;sexo;grupo_etario;no_de_casos_notificados
2015-12;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;<1 ano;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;35-44 anos;1
2018-10;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;55-64 anos;1
2016-01;Regiao de Saude Norte;Cavado;Shigelose;Masculino;1-4 anos;1
2018-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2018-10;Regiao de Saude do Centro;Regiao de Coimbra;Hepatite E;Feminino;35-44 anos;1
2016-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2018-10;Regiao de Saude LVT;Estrangeiro;Dengue;Masculino;55-64 anos;1
2016-01;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;<1 ano;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;<1 ano;1
2016-01;Regiao de Saude do Algarve;Algarve;Salmoneloses nao Typhi e nao Paratyphi;Feminino;15-24 anos;1
2016-01;Regiao de Saude do Algarve;Algarve;Salmoneloses nao Typhi e nao Paratyphi;Masculino;25-34 anos;1
2014-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca de Creutzfeldt-Jakob;Feminino;55-64 anos;1
2016-11;Regiao de Saude do Alentejo;Alentejo Litoral;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2014-12;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca de Lyme (Borreliose);Masculino;45-54 anos;1
2016-11;Regiao de Saude do Algarve;Algarve;Salmoneloses nao Typhi e nao Paratyphi;Masculino;35-44 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2016-11;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;45-54 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2014-12;Regiao de Saude Norte;Cavado;Doenca dos Legionarios;Masculino;45-54 anos;2
2014-12;Regiao de Saude Norte;Cavado;Doenca dos Legionarios;Masculino;35-44 anos;1
2014-12;Regiao de Saude Norte;Tamega e Sousa;Doenca dos Legionarios;Feminino;55-64 anos;1
2016-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2018-01;Regiao de Saude do Centro;Regiao de Aveiro;Malaria;Feminino;45-54 anos;1
2014-12;Regiao de Saude do Centro;Viseu Dao Lafoes;Febre escaro-nodular (Rickettsiose);Masculino;1-4 anos;1
2018-02;Regiao de Saude do Centro;Regiao de Aveiro;Gonorreia;Masculino;25-34 anos;1
2018-02;Regiao de Saude do Centro;Regiao de Aveiro;Campilobacteriose;Masculino;1-4 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2016-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;15-24 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2014-12;Regiao de Saude do Centro;ND;Infecao e Meningite Meningococia;Masculino;1-4 anos;2
2018-02;Regiao de Saude Norte;Terras de Tras-os-Montes;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-02;Regiao de Saude do Centro;Regiao de Aveiro;Campilobacteriose;Masculino;1-4 anos;1
2016-01;Regiao de Saude do Algarve;Regiao de Leiria;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2018-02;Regiao de Saude do Algarve;Algarve;Gonorreia;Masculino;15-24 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2016-02;Regiao de Saude do Centro;Viseu Dao Lafoes;Hepatite B;Feminino;15-24 anos;1
2014-12;Regiao de Saude Norte;Terras de Tras-os-Montes;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2016-02;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite B;Masculino;25-34 anos;1
2018-03;RA Madeira;Regiao Autonoma da Madeira;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2016-02;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2014-12;Regiao de Saude do Algarve;Estrangeiro;Malaria;Masculino;25-34 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sarampo;Feminino;25-34 anos;6
2015-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2015-08;Regiao de Saude Norte;Ave;Gonorreia;Masculino;25-34 anos;1
2015-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Campilobacteriose;Feminino;5-14 anos;1
2014-12;RA Madeira;Regiao Autonoma da Madeira;Parotidite Epidemica;Masculino;1-4 anos;2
2014-12;Regiao de Saude LVT;Leziria do Tejo;Parotidite Epidemica;Masculino;5-14 anos;1
2015-08;RA Madeira;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2015-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Sifilis - Excluindo Sifilis Congenita;Feminino;75 ou + anos;1
2015-09;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Masculino;65-74 anos;1
2017-12;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Feminino;45-54 anos;1
2014-12;Regiao de Saude Norte;Tamega e Sousa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;5
2014-12;Regiao de Saude do Algarve;Algarve;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;2
2017-09;Regiao de Saude do Algarve;Algarve;Febre escaro-nodular (Rickettsiose);Masculino;55-64 anos;1
2015-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Feminino;<1 ano;1
2015-09;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;65-74 anos;1
2017-09;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2017-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Parotidite Epidemica;Masculino;5-14 anos;1
2015-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-02;RA Madeira;Regiao de Aveiro;Malaria;Masculino;55-64 anos;1
2017-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-10;Regiao de Saude Norte;Cavado;Gonorreia;Masculino;25-34 anos;1
2015-02;Regiao de Saude do Algarve;Estrangeiro;Doenca dos Legionarios;Masculino;55-64 anos;1
2015-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-02;Regiao de Saude do Centro;Regiao de Aveiro;Parotidite Epidemica;Masculino;5-14 anos;1
2017-10;Regiao de Saude Norte;Cavado;Doenca dos Legionarios;Feminino;55-64 anos;1
2015-10;Regiao de Saude Norte;Regiao de Aveiro;Parotidite Epidemica;Feminino;45-54 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Feminino;45-54 anos;1
2015-03;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;25-34 anos;1
2015-10;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Feminino;<1 ano;1
2015-10;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;35-44 anos;1
2018-05;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2018-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;15-24 anos;1
2018-05;Regiao de Saude Norte;Ave;Campilobacteriose;Masculino;5-14 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2015-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2015-10;Regiao de Saude Norte;Regiao de Aveiro;Parotidite Epidemica;Masculino;1-4 anos;1
2018-05;Regiao de Saude do Centro;Regiao de Leiria;Febre escaro-nodular (Rickettsiose);Masculino;65-74 anos;1
2018-05;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2015-10;Regiao de Saude do Centro;Regiao de Aveiro;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2015-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-05;Regiao de Saude do Centro;Regiao de Aveiro;Gonorreia;Masculino;25-34 anos;1
2015-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2015-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;5-14 anos;1
2015-04;Regiao de Saude LVT;Regiao de Aveiro;Malaria;Masculino;45-54 anos;1
2017-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Feminino;35-44 anos;1
2015-11;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;35-44 anos;1
2015-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2015-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;45-54 anos;1
2017-07;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Masculino;1-4 anos;1
2018-06;Regiao de Saude LVT;Medio Tejo;Gonorreia;Masculino;25-34 anos;1
2015-11;Regiao de Saude LVT;Regiao de Aveiro;Malaria;Masculino;65-74 anos;1
2017-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Feminino;25-34 anos;1
2018-06;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;55-64 anos;1
2018-03;Regiao de Saude Norte;Cavado;Sarampo;Feminino;15-24 anos;2
2015-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;5-14 anos;1
2018-06;Regiao de Saude Norte;Cavado;Hepatite B;Masculino;45-54 anos;1
2017-07;Regiao de Saude do Algarve;Algarve;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2018-06;Regiao de Saude do Centro;Regiao de Leiria;Hepatite B;Feminino;45-54 anos;1
2015-06;Regiao de Saude Norte;Regiao de Aveiro;Doenca invasiva meningococica;Feminino;1-4 anos;1
2015-06;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;15-24 anos;1
2018-06;Regiao de Saude Norte;Ave;Doenca dos Legionarios;Masculino;15-24 anos;1
2015-06;Regiao de Saude do Centro;Regiao de Aveiro;Parotidite Epidemica;Masculino;1-4 anos;1
2015-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva por Haemophilus influenzae;Feminino;1-4 anos;1
2017-10;Regiao de Saude LVT;Estrangeiro;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-10;RA Acores;Regiao Autonoma dos cores;Leptospirose;Masculino;25-34 anos;1
2015-06;Regiao de Saude do Algarve;Alentejo Central;Gonorreia;Masculino;15-24 anos;1
2017-10;Regiao de Saude do Alentejo;Baixo Alentejo;Doenca invasiva pneumococica;Masculino;65-74 anos;1
2015-06;Regiao de Saude do Centro;Beiras e Serra da Estrela;Campilobacteriose;Feminino;1-4 anos;1
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;15-24 anos;1
2017-10;Regiao de Saude do Algarve;Algarve;Doenca dos Legionarios;Feminino;75 ou + anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2015-07;Regiao de Saude LVT;Estrangeiro;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;45-54 anos;1
2017-10;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;35-44 anos;1
2015-07;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2017-10;Regiao de Saude do Centro;Beiras e Serra da Estrela;Hepatite C;Masculino;35-44 anos;1
2015-07;Regiao de Saude do Centro;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Masculino;<1 ano;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;2
2015-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;55-64 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;35-44 anos;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Feminino;75 ou + anos;3
2015-07;Regiao de Saude do Centro;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2017-11;Regiao de Saude do Centro;Regiao de Leiria;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-11;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;45-54 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2015-07;Regiao de Saude do Algarve;Regiao de Aveiro;Tosse Convulsa;Feminino;<1 ano;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Feminino;<1 ano;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;2
2017-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2015-07;Regiao de Saude Norte;Terras de Tras-os-Montes;Febre escaro-nodular (Rickettsiose);Masculino;1-4 anos;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Parotidite Epidemica;Feminino;65-74 anos;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2015-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Gonorreia;Masculino;45-54 anos;1
2017-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Masculino;35-44 anos;1
2017-12;Regiao de Saude do Algarve;Algarve;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2017-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;3
2017-12;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;45-54 anos;1
2017-12;RA Acores;Regiao Autonoma dos cores;Leptospirose;Masculino;25-34 anos;1
2015-08;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;25-34 anos;1
2017-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;2
2016-03;Regiao de Saude do Centro;Viseu Dao Lafoes;Doenca invasiva por Haemophilus influenzae;Feminino;75 ou + anos;1
2017-01;Regiao de Saude Norte;Terras de Tras-os-Montes;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por virus Zika;Feminino;35-44 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Feminino;15-24 anos;1
2018-07;Regiao de Saude do Alentejo;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Listeriose;Feminino;65-74 anos;1
2017-02;Regiao de Saude Norte;Tamega e Sousa;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2016-03;Regiao de Saude do Centro;Regiao de Coimbra;Hepatite B;Feminino;75 ou + anos;1
2018-08;Regiao de Saude do Centro;Regiao de Leiria;Gonorreia;Masculino;35-44 anos;1
2018-08;Regiao de Saude Norte;Alto Minho;Campilobacteriose;Masculino;1-4 anos;1
2018-08;Regiao de Saude Norte;Estrangeiro;Doenca dos Legionarios;Feminino;55-64 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;75 ou + anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;45-54 anos;1
2018-08;Regiao de Saude Norte;Ave;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;1-4 anos;1
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;25-34 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;2
2016-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Brucelose;Masculino;35-44 anos;1
2018-08;Regiao de Saude Norte;Alto Minho;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-02;Regiao de Saude Norte;Douro;Doenca invasiva pneumococica;Feminino;75 ou + anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;2
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;65-74 anos;1
2018-08;Regiao de Saude Norte;Ave;Gonorreia;Masculino;15-24 anos;1
2017-03;Regiao de Saude do Centro;Beiras e Serra da Estrela;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2018-08;RA Acores;Regiao Autonoma dos cores;Leptospirose;Masculino;35-44 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2018-09;Regiao de Saude do Centro;Beiras e Serra da Estrela;Campilobacteriose;Feminino;1-4 anos;1
2017-03;RA Madeira;Regiao Autonoma da Madeira;Doenca invasiva pneumococica;Masculino;15-24 anos;1
2018-09;Regiao de Saude LVT;Estrangeiro;Gonorreia;Masculino;25-34 anos;1
2018-09;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;2
2016-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Paralisia flacida aguda;Masculino;1-4 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;15-24 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Masculino;75 ou + anos;1
2018-09;Regiao de Saude LVT;Oeste;Salmoneloses nao Typhi e nao Paratyphi;Masculino;75 ou + anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2018-09;Regiao de Saude do Centro;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca de Lyme (Borreliose);Masculino;35-44 anos;1
2018-09;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-03;Regiao de Saude do Alentejo;Estrangeiro;Giardiase;Feminino;35-44 anos;1
2017-05;Regiao de Saude Norte;Alto Minho;Hepatite A;Masculino;25-34 anos;1
2017-03;Regiao de Saude do Centro;Beiras e Serra da Estrela;Parotidite Epidemica;Masculino;15-24 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;45-54 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;35-44 anos;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2017-05;Regiao de Saude LVT;Estrangeiro;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-11;Regiao de Saude LVT;Oeste;Hepatite C;Masculino;35-44 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2017-05;Regiao de Saude Norte;Cavado;Parotidite Epidemica;Masculino;1-4 anos;1
2017-05;Regiao de Saude LVT;Algarve;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-11;Regiao de Saude do Centro;Regiao de Aveiro;Hepatite B;Masculino;45-54 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2018-12;RA Acores;Regiao Autonoma dos cores;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva pneumococica;Feminino;75 ou + anos;1
2018-12;Regiao de Saude do Centro;Estrangeiro;Hepatite B;Masculino;35-44 anos;1
2015-06;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;65-74 anos;1
2017-02;RA Acores;Regiao Autonoma dos cores;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2015-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;75 ou + anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2015-06;Regiao de Saude LVT;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;75 ou + anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2015-06;Regiao de Saude Norte;Regiao de Aveiro;Malaria;Masculino;55-64 anos;1
2017-02;Regiao de Saude Norte;Tamega e Sousa;Parotidite Epidemica;Feminino;5-14 anos;1
2015-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2015-07;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Feminino;35-44 anos;1
2015-07;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Feminino;35-44 anos;1
2017-05;Regiao de Saude LVT;Oeste;Salmoneloses nao Typhi e nao Paratyphi;Masculino;15-24 anos;1
2015-07;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;15-24 anos;1
2017-05;RA Acores;Regiao Autonoma dos cores;Hepatite A;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Feminino;25-34 anos;1
2015-08;Regiao de Saude LVT;Alentejo Central;Gonorreia;Masculino;25-34 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Feminino;35-44 anos;1
2015-08;Regiao de Saude do Centro;Regiao de Aveiro;Leptospirose;Feminino;55-64 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;35-44 anos;1
2015-08;Regiao de Saude Norte;Tamega e Sousa;Gonorreia;Masculino;45-54 anos;1
2015-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2016-11;Regiao de Saude LVT;Oeste;Doenca dos Legionarios;Masculino;55-64 anos;1
2017-03;Regiao de Saude Norte;Cavado;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Brucelose;Masculino;55-64 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2017-03;Regiao de Saude LVT;Estrangeiro;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;15-24 anos;1
2017-03;RA Madeira;Regiao Autonoma da Madeira;Hepatite C;Masculino;35-44 anos;2
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Masculino;55-64 anos;1
2017-07;Regiao de Saude Norte;Ave;Hepatite B;Masculino;35-44 anos;1
2017-03;Regiao de Saude Norte;Tamega e Sousa;Parotidite Epidemica;Masculino;15-24 anos;1
2015-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;55-64 anos;1
2015-12;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2017-04;Regiao de Saude do Centro;Beiras e Serra da Estrela;Listeriose;Masculino;65-74 anos;1
2017-04;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;55-64 anos;1
2016-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Feminino;75 ou + anos;1
2017-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;25-34 anos;1
2016-05;Regiao de Saude LVT;Estrangeiro;Malaria;Feminino;35-44 anos;1
2016-05;Regiao de Saude Norte;Ave;Malaria;Masculino;35-44 anos;1
